Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
11/1/2022 19:05:13,BLK,,MILK,,,BOBA,shark ,,TRUE,TRUE
11/1/2022 19:06:32,OLNG,,MILK,25%,100%,BOBA,lesile ,,TRUE,TRUE
11/1/2022 19:08:07,JSMN,,MILK,25%,50%,BOBA,pacific ,,TRUE,TRUE
11/1/2022 19:08:48,BLK,ROSE,MILK,0%,50%,BOBA,serenat ,,TRUE,TRUE
11/1/2022 19:09:46,MTCH,,MILK,,,BOBA,rom ,,TRUE,TRUE
11/1/2022 19:10:50,MTCH,,MILK,,,BOBA,chau ,,TRUE,TRUE
11/1/2022 19:12:12,JSMN,"KQ, LYCH",,,50%,BOBA,Hannah ,,TRUE,TRUE
11/1/2022 19:14:57,BLK,ROSE,MILK,0%,100%,BOBA,Kevin,,TRUE,TRUE
11/1/2022 19:15:50,TARO,,MILK,50%,100%,BOBA,kiara ,,TRUE,TRUE
11/1/2022 19:17:46,BLK,ROSE,MILK,50%,50%,BOBA,Austin ,,TRUE,TRUE
11/1/2022 19:19:01,OLNG,"HNY, PCH",,25%,75%,BOBA,erin ,,TRUE,TRUE
11/1/2022 19:19:52,DTYMTCH,,Almond,,,BOBA,Ally ,,TRUE,TRUE
11/1/2022 19:20:38,OLNG,"HNY, PCH",,25%,75%,LYCHEE,Mack ,,TRUE,TRUE
11/1/2022 19:21:47,OLNG,"PSNFRT, PCH",,25%,50%,BOBA,leila ,,TRUE,TRUE
11/1/2022 19:22:52,TARO,,MILK,0%,25%,BOBA,Amid ,,TRUE,TRUE
11/1/2022 19:23:51,JSMN,PSNFRT,,50%,75%,BOBA,Paul ,,TRUE,TRUE
11/1/2022 19:25:03,JSMN,,MILK,50%,75%,BOBA,Zee,,TRUE,TRUE
11/1/2022 19:25:41,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,Gia ,,TRUE,TRUE
11/1/2022 19:26:44,BSL,,Almond,,,BOBA,sam,,TRUE,TRUE
11/1/2022 19:27:11,DTYMTCH,,Oat,,,BOBA,becca ,,TRUE,TRUE
11/1/2022 19:27:45,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,Becca 2,,TRUE,TRUE
11/1/2022 19:29:36,MTCH,,MILK,,,BOBA,Camille ,,TRUE,TRUE
11/1/2022 19:30:08,JSMN,"MNGO, PSNFRT",,50%,100%,BOBA,Camille 2 ,,TRUE,TRUE
11/1/2022 19:31:53,JSMN,PCH,,50%,50%,BOBA,Sofia 1,,TRUE,TRUE
11/1/2022 19:32:19,JSMN,KQ,,25%,25%,BOBA,sofia extra boba ,,TRUE,TRUE
11/1/2022 19:33:43,JSMN,"MNGO, PSNFRT",,25%,75%,BOBA,Stephanie ,,TRUE,TRUE
11/1/2022 19:34:27,BLK,ROSE,MILK,25%,75%,,Anna ,,TRUE,TRUE
11/1/2022 19:35:13,BLK,ROSE,MILK,25%,75%,,SYDNEY ,,TRUE,TRUE
11/1/2022 19:36:28,TARO,,MILK,50%,100%,BOBA,ISARA ,,TRUE,TRUE
11/1/2022 19:37:02,BLK,ROSE,MILK,25%,25%,BOBA,Esther ,,TRUE,TRUE
11/1/2022 19:37:51,BSL,,MILK,,,BOBA,leo ,,TRUE,TRUE
11/1/2022 19:39:12,OLNG,"HNY, PCH",,50%,100%,LYCHEE,jeremy ,,TRUE,TRUE
11/1/2022 19:40:29,JSMN,"MNGO, PSNFRT",,25%,100%,BOBA,Richard 1,,TRUE,TRUE
11/1/2022 19:41:19,JSMN,"MNGO, PSNFRT",,0%,25%,LYCHEE,richard 2,,TRUE,TRUE
11/1/2022 19:51:13,TARO,,MILK,,,BOBA,MADDIE,,TRUE,TRUE
11/1/2022 20:05:32,JSMN,,MILK,50%,0%,BOBA,coop 1,,TRUE,TRUE
11/1/2022 20:06:06,TARO,,MILK,,0%,BOBA,norma,,TRUE,TRUE
11/1/2022 20:06:51,TARO,,MILK,,0%,BOBA,"coop 2 (chef, black earrings)",,TRUE,TRUE
11/1/2022 20:07:25,JSMN,,MILK,50%,25%,BOBA,coop 3,,TRUE,TRUE
11/1/2022 20:09:50,BLK,ROSE,MILK,50%,50%,BOBA,christina,,TRUE,TRUE
11/1/2022 20:11:51,SPECIAL,,,,,BOBA,sathiya (chai special),,TRUE,TRUE
11/1/2022 20:13:01,JSMN,"MNGO, PSNFRT",,50%,50%,BOBA,zora,,TRUE,TRUE
11/1/2022 20:13:44,TARO,,MILK,,50%,BOBA,joey,,TRUE,TRUE
11/1/2022 20:14:39,OLNG,"PCH, ROSE",,50%,50%,BOBA,katie,,TRUE,TRUE
