Timestamp,TEA,FLAVOR,MILK,ICE [Ice Level],SWEETNESS [Sweetness Level],Toppings,NAME,,Started,Completed
10/14/2022 16:49:26,SPECIAL,,,,,BOBA,,,FALSE,FALSE
10/20/2022 19:02:40,THAI,,MILK,50%,75%,BOBA,res - coop,,TRUE,TRUE
10/20/2022 19:05:44,SPECIAL,,,,,BOBA,sean,,TRUE,TRUE
10/20/2022 19:06:32,JSMN,,MILK,50%,75%,LYCHEE,helin,,TRUE,TRUE
10/20/2022 19:07:23,SPECIAL,,,,,,katie,,TRUE,TRUE
10/20/2022 19:08:09,TARO,,Soy,,100%,BOBA,andrea,,TRUE,TRUE
10/20/2022 19:09:07,THAI,,MILK,50%,75%,POPPIN,kiara,,TRUE,TRUE
10/20/2022 19:09:33,SPECIAL,,,,,BOBA,liam,,TRUE,TRUE
10/20/2022 19:10:17,SPECIAL,,,,,BOBA,jimin,,TRUE,TRUE
10/20/2022 19:11:35,OLNG,PCH,,25%,25%,BOBA,sophia extra boba,,TRUE,TRUE
10/20/2022 19:12:21,JSMN,"MNGO, PSNFRT",,25%,50%,BOBA,bella,,TRUE,TRUE
10/20/2022 19:13:12,BLK,WNTML,MILK,25%,75%,"BOBA, LYCHEE",anna,,TRUE,TRUE
10/20/2022 19:14:01,SPECIAL,,,,,BOBA,rom,,TRUE,TRUE
10/20/2022 19:15:14,JSMN,,MILK,50%,50%,BOBA,bella,,TRUE,TRUE
10/20/2022 19:15:50,OLNG,"HNY, PCH",,50%,50%,BOBA,joana,,TRUE,TRUE
10/20/2022 19:18:35,BSL,,Almond,50%,100%,BOBA,liz ,,TRUE,TRUE
10/20/2022 19:19:08,JSMN,,MILK,25%,50%,BOBA,anisa,,TRUE,TRUE
10/20/2022 19:20:11,JSMN,PSNFRT,,50%,50%,BOBA,ana,,TRUE,TRUE
10/20/2022 19:22:55,SPECIAL,,,,,BOBA,jason,,TRUE,TRUE
10/20/2022 19:23:10,SPECIAL,,MILK,,,BOBA,res - coop,,TRUE,TRUE
10/20/2022 19:29:11,BLK,WNTML,MILK,0%,50%,"BOBA, LYCHEE",emma,,TRUE,TRUE
10/20/2022 19:30:18,JSMN,"MNGO, PSNFRT",,50%,50%,POPPIN,alex,,TRUE,TRUE
10/20/2022 19:31:08,DTYMTCH,,Almond,,,BOBA,bay,,TRUE,TRUE
10/20/2022 19:32:07,JSMN,"MNGO, PSNFRT",,25%,50%,"BOBA, POPPIN",oluyemisi,,TRUE,TRUE
10/20/2022 19:33:49,BLK,ROSE,MILK,75%,75%,BOBA,annika,,TRUE,TRUE
10/20/2022 19:34:26,JSMN,MNGO,,25%,25%,BOBA,tara,,TRUE,TRUE
10/20/2022 19:39:20,TARO,,Soy,,100%,BOBA,luke,,TRUE,TRUE
10/20/2022 19:40:13,OLNG,,MILK,25%,50%,BOBA,josh,,TRUE,TRUE
10/20/2022 19:40:57,OLNG,,MILK,50%,25%,LYCHEE,kat,,TRUE,TRUE
10/20/2022 19:42:55,SPECIAL,,Almond,,,BOBA,wren,,TRUE,TRUE
10/20/2022 19:44:27,OLNG,,MILK,25%,25%,BOBA,li,,TRUE,TRUE
10/20/2022 19:45:14,BLK,"PSNFRT, PCH",,25%,75%,BOBA,iram,,TRUE,TRUE
10/20/2022 19:46:29,BSL,,"MILK, Oat",,,BOBA,max,,TRUE,TRUE
10/20/2022 19:47:49,JSMN,"MNGO, PSNFRT",,100%,100%,BOBA,Rafael,,TRUE,TRUE
